,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12
User 1,0.7917707771708525,0.9299351598231224,0.7914585370772033,0.7961676736969359,0.7894347593961398,0.7721455290773735,0.7977739249323254,0.869968350815811,0.9064183738110876,0.7936677924676888,0.8266397800402205,0.7817363719428114
User 2,0.786887739611232,0.9045281646906806,0.7802210325319667,0.8395585392454614,0.7957593321796395,0.7792175312474449,0.7939651782183694,0.8545658417133283,0.8988813588154188,1.0000000171185537,0.9999999373423792,0.7748315614987945
User 3,0.7801736919836231,0.9999999237060841,0.7914585370772033,0.8358734508391048,0.791013489466351,0.7713622455464445,0.7794430680151998,0.7764118848969763,0.8776029752946766,0.8292126757266594,0.8112362289269357,0.7825991079880162
User 4,0.780943668167155,0.9052848818273802,0.7802210325319667,0.7998903413120906,0.8121364569361134,0.7597261860557534,0.8097130613480895,0.7710109688208047,0.8646401330144494,0.7668890088701054,0.7938440659559345,0.7789226893600322
User 5,0.7933052341226403,0.8909851853350771,0.7914585370772033,0.7853617904688877,0.7852979586948903,0.7794246088458365,0.8135309340739877,0.7482082546287946,0.8615825304369973,0.8232784758688925,0.7897995126459463,0.7909224627288374
User 6,0.7771270756087416,0.9045281646906806,0.7802210325319667,0.8187682304681498,0.7883658515454515,0.7623032826844898,0.7931148657217636,0.7757752307130641,0.870761859833037,0.8167618289129512,0.8266397800402205,0.7853514302073021
User 7,0.7584321769907889,0.9999999237060841,0.7914585370772033,0.7905685637407559,0.7992014935356966,0.7886604977982813,0.7967009091093367,0.8092687352457,0.8688091411873927,0.818927052414482,0.9999999373423792,0.7817363719428114
User 8,0.7798462400294461,0.9299351598231224,0.7802210325319667,0.8315234128486437,0.7880615150539383,0.7620486776628217,0.7892031716910156,0.8466706766664098,0.8804846630781771,0.8826919402324318,0.8112362289269357,0.7695089804586124
User 9,0.7820093257347727,0.9052848818273802,0.7914585370772033,0.8381833061485774,0.7919928723384482,0.7921283772560547,0.8136144601117318,0.8033828583945597,0.8634156698464841,0.8396917584377507,0.7938440659559345,0.7682720281168609
User 10,0.8003739098362948,0.8414506343046912,0.7802210325319667,0.8715323709761558,0.7952043236325966,0.7720703705263422,0.8103364421123787,0.8310436271253069,0.8772568923351322,0.8221939903532347,0.7897995126459463,0.8022028750950354
User 11,0.7872513095838422,0.9999999237060841,0.9999999117369135,0.999999904947371,0.9999999701173705,0.9999999489275375,1.000000008474964,0.9999999773605535,0.9999999340920231,1.0000000171185537,0.9999999373423792,1.0000000798263715
User 12,1.000000044124876,0.9999999237060841,0.9999999117369135,0.999999904947371,0.9999999701173705,0.9999999489275375,1.000000008474964,0.9999999773605535,0.9999999340920231,1.0000000171185537,0.9999999373423792,1.0000000798263715
User 13,0.7810323814586354,0.9052848818273802,0.7802210325319667,0.8187682304681498,0.7884955420640709,0.9999999489275375,1.000000008474964,0.9999999773605535,0.9999999340920231,1.0000000171185537,0.9999999373423792,1.0000000798263715
